YEAR,INDICATOR_NAME,DATA_VALUE,DATA_SOURCE_NAME,DATABASE_NAME,PRODUCT,PRODUCT_DESCRIPTION,INDICATOR_TYPE,CATEGORY,CONTACT,FREQUENCY,AKFIN,ESR,STATUS_TRENDS,INFLUENTIAL_FACTORS,REFERENCE,PRELIMINARY,REPORT_CARD_TITLE,INTENDED_ESP_NAME,SUBMISSION_YEAR,GATE1_YEAR,GATE2_YEAR,REMOVED_YEAR,SIGN,WEIGHT,UNITS,INDICATOR_ORDER,REGION,TIME_START,TIME_END
2012,AMJ_Chlorophylla_Biomass_SEBS_Satellite,1.01,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
2011,AMJ_Chlorophylla_Biomass_SEBS_Satellite,1.73,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
2010,AMJ_Chlorophylla_Biomass_SEBS_Satellite,2.17,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
2009,AMJ_Chlorophylla_Biomass_SEBS_Satellite,2.12,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
2008,AMJ_Chlorophylla_Biomass_SEBS_Satellite,1.83,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
2007,AMJ_Chlorophylla_Biomass_SEBS_Satellite,1.11,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
2006,AMJ_Chlorophylla_Biomass_SEBS_Satellite,1.62,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
2005,AMJ_Chlorophylla_Biomass_SEBS_Satellite,2.1,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
2004,AMJ_Chlorophylla_Biomass_SEBS_Satellite,2.77,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
2003,AMJ_Chlorophylla_Biomass_SEBS_Satellite,2.69,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
2002,AMJ_Chlorophylla_Biomass_SEBS_Satellite,3.14,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
2001,AMJ_Chlorophylla_Biomass_SEBS_Satellite,3.58,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
2000,AMJ_Chlorophylla_Biomass_SEBS_Satellite,1.91,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
1999,AMJ_Chlorophylla_Biomass_SEBS_Satellite,1.45,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
1998,AMJ_Chlorophylla_Biomass_SEBS_Satellite,3.12,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
2022,Annual_Snow_Crab_Active_Vessels_EBS_Fishery,42,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_Active_Vessels_EBS_Fishery,Annual number of active vessels in the snow crab fishery to represent the level of fishing effort assigned to the fishery; responsive to vessel-level costs of entry and operation and TAC level,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Eastern Bering Sea,TBD,TBD,TBD,N,Annual number of active vessels in the snow crab fishery to represent the level of fishing effort assigned to the fishery,BS Snow Crab,2022,2022,NA,NA,1,1,# Vessels,12,Eastern Bering Sea,1/1/1977,12/31/2022
2021,Annual_Snow_Crab_Active_Vessels_EBS_Fishery,62,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_Active_Vessels_EBS_Fishery,Annual number of active vessels in the snow crab fishery to represent the level of fishing effort assigned to the fishery; responsive to vessel-level costs of entry and operation and TAC level,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Eastern Bering Sea,TBD,TBD,TBD,N,Annual number of active vessels in the snow crab fishery to represent the level of fishing effort assigned to the fishery,BS Snow Crab,2022,2022,NA,NA,1,1,# Vessels,12,Eastern Bering Sea,1/1/1977,12/31/2022
2020,Annual_Snow_Crab_Active_Vessels_EBS_Fishery,59,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_Active_Vessels_EBS_Fishery,Annual number of active vessels in the snow crab fishery to represent the level of fishing effort assigned to the fishery; responsive to vessel-level costs of entry and operation and TAC level,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Eastern Bering Sea,TBD,TBD,TBD,N,Annual number of active vessels in the snow crab fishery to represent the level of fishing effort assigned to the fishery,BS Snow Crab,2022,2022,NA,NA,1,1,# Vessels,12,Eastern Bering Sea,1/1/1977,12/31/2022
2019,Annual_Snow_Crab_Active_Vessels_EBS_Fishery,61,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_Active_Vessels_EBS_Fishery,Annual number of active vessels in the snow crab fishery to represent the level of fishing effort assigned to the fishery; responsive to vessel-level costs of entry and operation and TAC level,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Eastern Bering Sea,TBD,TBD,TBD,N,Annual number of active vessels in the snow crab fishery to represent the level of fishing effort assigned to the fishery,BS Snow Crab,2022,2022,NA,NA,1,1,# Vessels,12,Eastern Bering Sea,1/1/1977,12/31/2022
2018,Annual_Snow_Crab_Active_Vessels_EBS_Fishery,63,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_Active_Vessels_EBS_Fishery,Annual number of active vessels in the snow crab fishery to represent the level of fishing effort assigned to the fishery; responsive to vessel-level costs of entry and operation and TAC level,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Eastern Bering Sea,TBD,TBD,TBD,N,Annual number of active vessels in the snow crab fishery to represent the level of fishing effort assigned to the fishery,BS Snow Crab,2022,2022,NA,NA,1,1,# Vessels,12,Eastern Bering Sea,1/1/1977,12/31/2022
